dataset,method,q,model,fold,F12,G12,a1,a2,b1,b2,n1,n2,coverage,beta_pos,beta_neg,S_val,S_test,t_reducer,t_model,unary_device,n_selected,selected_indices
DS-B,Ensembleunar,5,UnaryMLP,2,0.4044646075570322,0.23748280745914066,0.4418604651162791,0.37374860956618466,0.2558139534883721,0.22246941045606228,301,899,0.46833333373069763,0.985662043094635,1.0066837072372437,0.36639511888875415,0.345093905692247,2668.0903753660386,0.0,cuda:0,5.0,"5,6,9,18,25"
DS-B,Ensembleunar,5,UnaryMLP,3,0.3036061789069685,0.2053919357334143,0.34219269102990035,0.27363737486095663,0.3122923588039867,0.15350389321468297,301,899,0.4883333444595337,0.9793132543563843,1.0030596256256104,0.30290951858020637,0.2522581949736149,2666.1710359510034,0.0,cuda:0,5.0,"5,6,9,18,26"
DS-B,Ensembleunar,5,UnaryMLP,4,0.45116819791908724,0.1611129760804862,0.43521594684385384,0.4694104560622914,0.21926910299003322,0.12791991101223582,301,899,0.5375000238418579,1.002205729484558,1.004324197769165,0.4074099377459984,0.4108899538989657,2667.4483800500166,0.0,cuda:0,5.0,"5,6,9,18,25"
DS-B,Ensembleunar,5,UnaryMLP,5,0.4228576273157608,0.29519538156174163,0.4304635761589404,0.41648106904231624,0.3211920529801324,0.2739420935412027,302,898,0.46416667103767395,0.9766527414321899,0.9922716021537781,0.333839111895169,0.3490587819253254,2667.5894424509024,0.0,cuda:0,5.0,"5,6,9,18,25"
DS-B,Ensembleunar,10,UnaryMLP,1,0.39631824835427615,0.28198740901756664,0.3588039867109635,0.44382647385984425,0.40863787375415284,0.21579532814238042,301,899,0.4775000214576721,0.9879404902458191,0.9953484535217285,0.36843392834366334,0.3258213960998845,2667.4955858760513,0.0,cuda:0,10.0,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,UnaryMLP,2,0.411501843409623,0.2855399920471416,0.38870431893687707,0.4382647385984427,0.3687707641196013,0.2335928809788654,301,899,0.4975000023841858,0.9876635074615479,0.9955013394355774,0.35340745152972736,0.3401168453978376,2668.3246511309408,0.0,cuda:0,10.0,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,UnaryMLP,3,0.5098844897841991,0.23146976584555332,0.5514950166112956,0.474972191323693,0.30564784053156147,0.18687430478309233,301,899,0.5983333587646484,0.9720836877822876,0.9967783093452454,0.4661912969614831,0.45201704832281075,2668.8616971310694,0.0,cuda:0,10.0,"2,5,6,9,11,18,22,25,26,27"
DS-B,Ensembleunar,10,UnaryMLP,4,0.4617643679785739,0.25108320224627523,0.5116279069767442,0.42157953281423804,0.31561461794019935,0.20912124582869857,301,899,0.51583331823349,0.9865428805351257,0.9974910616874695,0.43132301528177835,0.3989935674170051,2669.5260122710606,0.0,cuda:0,10.0,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,UnaryMLP,5,0.44800973620954,0.3107161387548261,0.47019867549668876,0.4287305122494432,0.32781456953642385,0.2962138084632517,302,898,0.5216667056083679,0.9829875826835632,0.9972290396690369,0.32356293440048123,0.37033070152083347,2668.782656097086,0.0,cuda:0,10.0,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,15,UnaryMLP,1,0.3742885322118404,0.2195338947858221,0.4186046511627907,0.339265850945495,0.2823920265780731,0.18020022246941045,301,899,0.49916666746139526,0.9926175475120544,0.9982407689094543,0.33816283754894055,0.31940505851538487,2663.814782692003,0.0,cuda:0,15.0,"2,3,4,5,6,8,9,16,17,18,22,25,26,27,29"
DS-B,Ensembleunar,15,UnaryMLP,2,0.322785254824202,0.2124385863975791,0.292358803986711,0.3615127919911012,0.37209302325581395,0.14905450500556172,301,899,0.44333335757255554,0.9929680824279785,1.0009487867355347,0.3023634302725634,0.26967560822480724,2670.0751661080867,0.0,cuda:0,15.0,"2,5,6,9,11,13,14,15,18,22,24,25,26,27,29"
DS-B,Ensembleunar,15,UnaryMLP,3,0.4388772700731321,0.22008331706955797,0.4850498338870432,0.40155728587319245,0.26245847176079734,0.19021134593993325,301,899,0.5425000190734863,0.9854812622070312,0.9947823286056519,0.39188477897681395,0.3838564408057426,2666.6323519250145,0.0,cuda:0,15.0,"0,2,5,6,9,10,11,18,20,22,25,26,27,28,29"
DS-B,Ensembleunar,15,UnaryMLP,4,0.44494834988181564,0.22443373094697305,0.4950166112956811,0.40489432703003336,0.2823920265780731,0.18687430478309233,301,899,0.5416666865348816,0.9905821084976196,0.9949297904968262,0.3737477882845516,0.3888399171450724,2664.9741140300175,0.0,cuda:0,15.0,"2,5,6,9,11,13,17,18,19,22,23,25,26,27,29"
DS-B,Ensembleunar,15,UnaryMLP,5,0.37643758624374435,0.21408243370763075,0.37748344370860926,0.37639198218262804,0.3741721854304636,0.15033407572383073,302,898,0.4833333492279053,0.9925641417503357,0.9944728016853333,0.3064783162096338,0.32291697781683665,2666.829989735037,0.0,cuda:0,15.0,"0,2,5,6,7,9,10,11,16,18,22,25,26,27,29"
