dataset,method,q,model,AUC_mean,AUC_std,PR_AUC_mean,PR_AUC_std,dAUC_mean,dAUC_std,dPR_mean,dPR_std,t_red_med,t_mod_med
DS-B,Ensembleunar,15,KNN,0.9123286900622558,0.0053420164763745915,0.7870792436975702,0.012497106696839568,0.11639209249808191,0.015422562007401542,0.21495929834607347,0.01578625489709453,2666.6323519250145,0.002964865998364985
DS-B,Ensembleunar,15,MLP,0.9668918337775368,0.006654116072889902,0.9157912111455466,0.014813091839313713,0.029027383465975175,0.007966352091838184,0.05080511198197293,0.020371758842539976,2666.6323519250145,5.949063158943318
DS-B,Ensembleunar,15,SVM_rbf,0.9413655102856383,0.003274316479239166,0.8879195400913569,0.007452243854707305,0.02739228595021954,0.003897799038071516,0.03802021962413456,0.010154743231812261,2666.6323519250145,0.5956273049814627
DS-B,Ensembleunar,15,QDA,0.9206298370667735,0.006124673486517915,0.8362123517039366,0.010189043707924748,0.009645029382334979,0.005014571939366828,0.013749474447127864,0.006271433281274939,2666.6323519250145,0.00151482701767236
DS-B,Ensembleunar,15,GaussianNB,0.7950835432092312,0.015867618371444948,0.5949215300280886,0.02071119497493832,0.006280585307193887,0.007795726590671021,0.007905789954927944,0.007395489592814755,2666.6323519250145,0.0007841569604352117
DS-B,Ensembleunar,15,HGBT,0.962768595229756,0.004702824150893441,0.9150452179390403,0.009638658737655152,0.00485777471543114,0.002352948173114932,0.009210020283997112,0.004296223492730959,2666.6323519250145,0.3575856010429561
DS-B,Ensembleunar,15,LogRegL2,0.8518224662974866,0.006019284454273727,0.7354463026942446,0.010330665484869137,0.002652365142233526,0.004191199987275278,0.0016907384056615848,0.012130898554579987,2666.6323519250145,0.07382412406150252
DS-B,Ensembleunar,15,SVM_linear,0.8463682437731144,0.008313299124793073,0.743862432889417,0.00949388405013691,0.0022524813842312195,0.0026931030764027635,0.001174849842153347,0.01026577328884737,2666.6323519250145,1.0815157589968294
DS-B,Ensembleunar,15,ShrinkageLDA,0.8489017301493555,0.007450836655285139,0.7230516451903954,0.012475838834423781,0.0017026609925488768,0.002923988099635951,0.004262488675074038,0.004452795150284586,2666.6323519250145,0.0035074190236628056
DS-B,HSIC_Lasso,5,KDEBayes,0.9238932887402524,0.014337215953937325,0.8365178977569891,0.025259253182823866,0.20966961844263987,0.02178080227609541,0.39200303536534153,0.03799605376125374,0.12264112499542534,0.0016944470116868615
DS-B,HSIC_Lasso,5,KNN,0.9366949753194014,0.02770391731187411,0.8373395363879066,0.057730916184883005,0.1407583777552274,0.03850085773265483,0.26521959103640985,0.06436891518688544,0.12264112499542534,0.001553066074848175
DS-B,HSIC_Lasso,5,MLP,0.973384657986888,0.019031166631252826,0.9353855480324637,0.045255891059974115,0.0355202076753264,0.019128914270728062,0.07039944886888982,0.04880329513093975,0.12264112499542534,4.379982964019291
DS-B,HSIC_Lasso,5,SVM_rbf,0.9421054039900737,0.016115354878127913,0.8815681690290317,0.03796850522567308,0.028132179654654865,0.017648371823891167,0.031668848561809515,0.046305161166703315,0.12264112499542534,0.46737686393316835
DS-B,HSIC_Lasso,5,GaussianNB,0.7804013721879898,0.016179260299763142,0.5801708203371606,0.02494928617549412,-0.008401585714047654,0.020095194367586507,-0.006844919735999877,0.03281703214817163,0.12264112499542534,0.0006243280367925763
DS-B,HSIC_Lasso,5,ShrinkageLDA,0.83445756449425,0.03294916762180438,0.6791769299741461,0.10122975384344098,-0.012741504662556769,0.03575284493962649,-0.039612226541175244,0.10292728944252122,0.12264112499542534,0.0017959799151867628
DS-B,HSIC_Lasso,5,HGBT,0.9448791221763319,0.016855164595987345,0.8778896584129219,0.036240584361762467,-0.013031698337992803,0.018151340592821304,-0.027945539242121287,0.039488399715525424,0.12264112499542534,0.2815659489715472
DS-B,HSIC_Lasso,5,LogRegL2,0.8345388298131036,0.0336706383577193,0.6788624029026115,0.09978085570307241,-0.01463127134214961,0.03542057503947062,-0.054893161385971646,0.1013987852343331,0.12264112499542534,0.04579881893005222
DS-B,HSIC_Lasso,5,SVM_linear,0.8274935830924737,0.037729835259139824,0.6928346541984477,0.08286028747535167,-0.016622179296409568,0.03809136480347744,-0.04985292884881589,0.08432517500178335,0.12264112499542534,0.7378609409788623
DS-B,HSIC_Lasso,5,QDA,0.8841669486392771,0.015512115376391274,0.7580950950693552,0.031258504609204145,-0.02681785904516154,0.0201082781679703,-0.06436778218745354,0.04247468222441528,0.12264112499542534,0.000630625057965517
DS-B,HSIC_Lasso,10,KDEBayes,0.8654366978692124,0.011617220600324366,0.7344119852777045,0.015158479374348386,0.15121302757159977,0.010278533802373578,0.28989712288605685,0.014084348306776231,0.14844265498686582,0.002555136918090284
